graph,algo,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k,num_runs,timestamp,transmission_cost_std,computation_cost_std,computation_cost_ratio_std,total_cost_std,no_lqdc_transmission_cost_std,no_lqdc_computation_cost_std,no_lqdc_total_cost_std
TATA_d35_b110,DMST,0,0.064901114,branch,90.3545449,46.24,136.5945449,0.339046802,22,200.2824695,0,200.2824695,96.02167333,0.398656615,2,100,2026-09-01T18:00:14,8.143540675,3.858926422,0.02382045,9.88505606,22.46312434,0,22.46312434
TATA_d35_b110,KMB,0,0.020455122,branch,98.97202813,46.68,145.6520281,0.321335762,23,248.9543021,0,248.9543021,98.91577273,0.406565142,2,100,2026-09-01T18:00:14,9.404876195,3.66495828,0.025927265,10.29935477,46.17748134,0,46.17748134
TATA_d35_b110,MFCS,0,0.010435581,branch,90.30750389,46.16,136.4675039,0.338851739,21,214.8588916,0,214.8588916,103.9659604,0.429151635,2,100,2026-09-01T18:00:14,8.290410094,3.569568347,0.02192163,10.07997675,33.52806091,0,33.52806091
TATA_d35_b110,QSTA,0,0.701395035,explicit,115.0185475,12.48,127.4985475,0.097980026,7,227.6092631,0,227.6092631,126.9261839,0.484519903,2,100,2026-09-01T18:00:14,10.07614158,2.07184103,0.014584845,10.8530692,35.72351202,0,35.72351202
TATA_d40_b105,SPT,0,0.011655807,none,219.7105112,0,219.7105112,0,0,219.7105112,0,219.7105112,0,0,2,100,2026-09-01T18:02:39,23.64614665,0,0,23.64614665,23.64614665,0,23.64614665
TATA_d40_b105,CLEA,0,0.172181845,branch,105.2223821,67,172.2223821,0.389842339,33,277.1950928,0,277.1950928,174.1335019,0.491743268,2,100,2026-09-01T18:02:39,9.943328569,5.00908266,0.030727196,10.28830983,58.84512594,0,58.84512594
TATA_d40_b105,DMST,0,0.049508572,branch,98.35514964,50.8,149.1551496,0.341218314,24,228.6780162,0,228.6780162,126.1965617,0.455623614,2,100,2026-09-01T18:02:39,8.445851041,4.050190169,0.027189078,9.084557516,24.8103863,0,24.8103863
TATA_d40_b105,KMB,0,0.021161556,branch,106.0466661,52.02,158.0666661,0.329855609,28,272.1969771,0,272.1969771,119.0439611,0.425100942,2,100,2026-09-01T18:02:39,9.413931064,3.861176876,0.025298803,10.25881978,46.04384864,0,46.04384864
TATA_d40_b105,MFCS,0,0.012350321,branch,99.22031109,52.04,151.2603111,0.344715606,24,241.2919416,0,241.2919416,125.3910384,0.4487934,2,100,2026-09-01T18:02:39,8.692372533,3.550273855,0.022262773,10.09230687,34.84323082,0,34.84323082
TATA_d40_b105,QSTA,0,0.580803871,explicit,128.2569288,14,142.2569288,0.098760483,7,259.9129783,0,259.9129783,183.2497587,0.554487263,2,100,2026-09-01T18:02:39,11.52744089,2.010075631,0.014269529,11.94938532,40.65271748,0,40.65271748
