experiment_id,timestamp,graph,algo,num_runs,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k
0,2026-08-31T17:08:32,ITCD_d20_b93,SPT,0,0,0.000112534,none,4916.813762,0,4916.813762,0,0,4916.813762,0,4916.813762,0,0,2
1,2026-08-31T17:08:33,ITCD_d20_b93,CLEA,0,0,0.137193203,branch,3872.080522,3750,7622.080522,0.491991654,25,5645.219829,0,5645.219829,-1976.860693,-0.35018312,2
2,2026-08-31T17:08:34,ITCD_d20_b93,DMST,0,0,0.055529594,branch,3526.828411,1950,5476.828411,0.35604548,13,5358.610993,0,5358.610993,-118.2174174,-0.022061205,2
3,2026-08-31T17:08:34,ITCD_d20_b93,KMB,0,0,0.012453079,branch,3646.352358,1650,5296.352358,0.311535164,11,5902.39639,0,5902.39639,606.0440312,0.102677623,2
4,2026-08-31T17:08:35,ITCD_d20_b93,MFCS,0,0,0.004940987,branch,3418.254439,1950,5368.254439,0.363246568,13,5087.09546,0,5087.09546,-281.1589788,-0.055269059,2
5,2026-08-31T17:08:36,ITCD_d20_b93,QSTA,0,0,0.215070486,explicit,4329.325245,450,4779.325245,0.094155551,3,6007.399356,0,6007.399356,1228.074112,0.204426914,2
0,2026-08-31T17:08:37,ITCD_d25_b88,SPT,0,0,0.00018096,none,6117.492912,0,6117.492912,0,0,6117.492912,0,6117.492912,0,0,2
1,2026-08-31T17:08:39,ITCD_d25_b88,CLEA,0,0,0.126725912,branch,4371.930559,4200,8571.930559,0.489971305,28,6786.41808,0,6786.41808,-1785.512478,-0.263100867,2
2,2026-08-31T17:08:40,ITCD_d25_b88,DMST,0,0,0.03136611,branch,3896.694815,2400,6296.694815,0.381152346,16,6185.389489,0,6185.389489,-111.3053256,-0.017994877,2
3,2026-08-31T17:08:41,ITCD_d25_b88,KMB,0,0,0.009995461,branch,4278.948065,2100,6378.948065,0.329207885,14,7369.651435,0,7369.651435,990.7033692,0.134430153,2
